id	ground_truth	prediction
457	0	0
193	0	0
367	0	1
467	0	1
352	0	1
140	0	0
173	0	0
6	0	0
559	0	1
344	0	1
73	0	1
595	0	1
299	0	1
420	0	0
145	0	1
234	0	1
220	0	0
651	1	0
359	0	1
132	0	1
422	0	1
768	1	1
477	0	0
41	0	0
530	0	1
108	0	0
786	1	0
56	0	1
630	1	1
436	0	0
713	1	1
24	0	1
449	0	0
396	0	1
780	1	0
51	0	1
375	0	0
791	1	1
552	0	1
264	0	0
590	0	1
594	0	1
741	1	0
323	0	1
18	0	0
621	1	0
448	0	1
83	0	0
61	0	1
272	0	1
285	0	0
351	0	1
428	0	1
766	1	1
182	0	0
355	0	0
535	0	1
223	0	0
822	1	1
650	1	1
361	0	1
412	0	1
828	1	1
529	0	1
176	0	1
581	0	1
814	1	1
163	0	1
248	0	1
714	1	0
762	1	1
74	0	1
113	0	0
578	0	0
671	1	1
104	0	1
114	0	1
362	0	1
92	0	1
723	1	1
89	0	1
336	0	1
482	0	1
792	1	0
803	1	1
526	0	0
531	0	0
94	0	1
11	0	0
398	0	0
43	0	0
42	0	1
329	0	1
167	0	1
755	1	1
754	1	1
656	1	0
462	0	1
178	0	1
644	1	1
711	1	1
177	0	1
589	0	0
687	1	0
596	0	0
257	0	1
404	0	1
335	0	0
534	0	0
15	0	0
3	0	1
760	1	1
256	0	0
743	1	1
439	0	1
382	0	0
222	0	1
468	0	0
585	0	1
388	0	1
324	0	1
513	0	1
9	0	1
249	0	1
22	0	1
356	0	0
221	0	0
582	0	0
742	1	1
846	1	1
545	0	1
340	0	1
720	1	0
203	0	1
237	0	1
93	0	1
450	0	1
570	0	1
542	0	1
284	0	0
184	0	1
696	1	0
445	0	1
153	0	1
75	0	1
794	1	1
533	0	0
277	0	1
68	0	1
547	0	1
188	0	1
271	0	1
722	1	0
538	0	1
236	0	0
88	0	1
733	1	1
117	0	0
125	0	0
708	1	0
289	0	1
238	0	0
0	0	0
853	1	0
433	0	1
752	1	1
395	0	1
514	0	1
126	0	1
278	0	1
668	1	1
116	0	0
228	0	1
603	1	1
662	1	1
486	0	0
274	0	0
318	0	1
587	0	0
144	0	1
854	1	1
541	0	1
784	1	1
622	1	1
369	0	1
268	0	0
604	1	0
307	0	0
423	0	1
310	0	1
506	0	0
46	0	1
349	0	0
371	0	0
558	0	0
261	0	1
195	0	1
861	1	0
721	1	1
107	0	1
59	0	1
638	1	1
494	0	1
100	0	1
443	0	1
588	0	1
774	1	0
620	1	1
579	0	1
179	0	0
304	0	0
551	0	1
57	0	1
831	1	1
149	0	1
124	0	1
680	1	1
749	1	1
185	0	1
576	0	0
50	0	1
341	0	1
446	0	1
851	1	1
519	0	0
321	0	1
353	0	0
798	1	0
142	0	1
470	0	0
370	0	1
800	1	0
141	0	1
399	0	0
493	0	1
263	0	0
320	0	1
19	0	0
172	0	1
841	1	1
312	0	1
390	0	0
837	1	1
12	0	1
407	0	1
408	0	1
305	0	0
354	0	1
25	0	1
636	1	0
169	0	1
781	1	0
38	0	1
175	0	1
245	0	0
717	1	1
583	0	1
704	1	1
740	1	0
154	0	0
287	0	1
523	0	0
17	0	1
127	0	1
322	0	0
255	0	0
692	1	1
829	1	0
190	0	0
115	0	0
536	0	1
180	0	1
301	0	1
659	1	1
618	1	1
629	1	1
597	0	1
695	1	0
517	0	0
847	1	1
45	0	1
820	1	1
157	0	0
691	1	0
171	0	1
